Loan ID,Loan Title,Loan Purpose,Amount Requested,Interest Rate,APR,Loan Length,Amount Funded,Number of Lenders,Expiration Date,Status,Application Date,CREDIT Rating,Home Ownership,Monthly Income,Debt-To-Income Ratio,FICO Range,Earliest CREDIT Line,Open CREDIT Lines,Total CREDIT Lines,Revolving CREDIT Balance,Revolving Line Utilization,Inquiries in the Last 6 Months,Accounts Now Delinquent,Delinquent Amount,Delinquencies (Last 2 yrs),Months Since Last Delinquency,Public Records On File,Months Since Last Record,Loan Description,Location,Education,Employment Length
"966206","Bill Consolidation","debt_consolidation","16000.00","8.90%","10.99%","36 months","6875.00","35","2011-10-16","In-Funding","2011-10-02","A5","OWN","2916.67","20.33%","750-779","1978-09-22","23","44","14896","25.6%","0","0","0","0","","0","","  Borrower added on 10/03/11 > This loan would beused to pay off credit cards with large interest rates.<br/>","Tonawanda, NY","","n/a"
"976009","October Wedding","wedding","10000.00","12.42%","15.29%","36 months","7750.00","86","2011-10-17","In-Funding","2011-10-03","B4","RENT","4583.33","11.91%","679-713","2005-04-07","14","21","7118","38.1%","0","0","0","0","36","0","","","Charlotte, NC","","2 years"
"976075","Card Refi","credit_card","18000.00","7.90%","9.98%","36 months","6600.00","21","2011-10-17","In-Funding","2011-10-03","A4","MORTGAGE","7433.70","11.1%","714-749","1999-09-06","6","18","17852","66%","0","0","0","1","23","0","","  Borrower added on 10/03/11 > I'm an excellent employee at a great NYSE listed technology company.  My resume is outstanding and I have a very mobile and versatile skill set in the field of information technology.  I want to use this loan to eliminate my last credit card, a Citi AAdvantage Platinum.  I have been an on-time paying customer of theirs for almost 13 years; recently I inquired about lowering my 19% interest rate and they refused, so I have come to the conclusion that they no longer want my business.  Hopefully this helps squelch any worries you may have about funding this loan, it will be paid off in full and on time.  I love the idea of P2P lending and I think I may invest some of the money I'll be saving on CC payments to other loan seekers on this site.<br/>","San Antonio, TX","","5 years"
"973724","Free","debt_consolidation","18000.00","17.58%","21.31%","36 months","2900.00","53","2011-10-18","In-Funding","2011-10-04","D4","RENT","5000.00","7.18%","660-678","1990-12-20","11","29","10555","53.3%","0","0","0","0","41","0","","  Borrower added on 10/04/11 > I plan to use this loan to pay off debt, and minimize my payments to 1 payment a month. My job is very stable<br/>null","Southfield, MI","","10+ years"
"977254","Car Loan","car","4500.00","16.77%","20.48%","36 months","1700.00","39","2011-10-18","In-Funding","2011-10-04","D2","RENT","2083.33","23.38%","679-713","2000-09-01","5","5","8834","98.2%","1","0","0","0","","0","","","El Dorado Hills, CA","","2 years"
"977338","debt loan","debt_consolidation","29175.00","10.65%","12.90%","60 months","350.00","7","2011-10-18","In-Funding","2011-10-04","B2","OWN","4583.33","26.14%","750-779","1994-11-02","13","26","3958","6.5%","0","0","0","0","","0","","  Borrower added on 10/04/11 > pay  off other bill and have  1 payment.  thank u<br/>null","hamburg, AR","","n/a"
"977315","personal","other","20000.00","7.90%","9.98%","36 months","325.00","9","2011-10-18","In-Funding","2011-10-04","A4","OWN","5666.67","16.66%","750-779","1990-08-25","10","34","17252","40.4%","1","0","0","0","","0","","","Harleysville, PA","","10+ years"
"977592","Consolidation","debt_consolidation","12000.00","16.29%","19.99%","36 months","1700.00","37","2011-10-18","In-Funding","2011-10-04","D1","RENT","5000.00","14.72%","679-713","2008-06-21","8","8","9566","41.1%","2","0","0","0","","0","","","daly city, CA","","< 1 year"
"977753","freedom3","debt_consolidation","15000.00","13.49%","15.81%","60 months","0.00","0","2011-10-18","In-Funding","2011-10-04","C1","RENT","4500.00","23%","714-749","1991-12-18","10","20","9266","34.9%","0","0","0","0","","1","117","","westbury, NY","","8 years"
"978047","Debt Consolidation","debt_consolidation","9000.00","7.90%","9.98%","36 months","0.00","0","2011-10-18","In-Funding","2011-10-04","A4","RENT","3750.00","14.67%","714-749","2002-08-22","6","15","5175","47.9%","1","0","0","0","","0","","","Sugar Land, TX","","1 year"
"949954","Debt Consolidation","debt_consolidation","28000.00","23.91%","26.48%","60 months","27275.00","326","2011-10-10","In-Funding","2011-09-26","G4","MORTGAGE","7500.00","22.75%","679-713","1986-08-07","28","55","35091","49.6%","1","0","0","0","","0","","  Borrower added on 09/26/11 > My payments are timely and above the minimum would simplify with one payment to pay off debts.<br/>","El Paso, TX","","10+ years"
"969594","Credit Card Loan","credit_card","7500.00","6.62%","7.99%","36 months","5375.00","68","2011-10-11","In-Funding","2011-09-27","A2","OWN","2191.67","15.56%","750-779","1972-07-23","9","13","12450","25.5%","4","0","0","0","","0","","  Borrower added on 09/27/11 > I will be lowering my interest rates on the CC and will also be strengthening my credit score.<br/>null","Dallas, TX","","n/a"
"970614","Debt Consolidation Loan","debt_consolidation","10000.00","7.51%","9.59%","36 months","6400.00","69","2011-10-12","In-Funding","2011-09-28","A3","RENT","6666.67","12.1%","714-749","1993-04-05","17","31","8494","33.7%","1","0","0","0","45","0","","  Borrower added on 10/01/11 > The funds will be used for debt consolidation.  As you can see I have very good credit so I pay my bills on time.  I have been with my employer for 6 years and the work just keeps company.  Job stability is definitely not one of my concerns.  Thank you for your understanding<br/>","Yonkers, NY","","6 years"
"845531","Credit Card Clean Up","debt_consolidation","23000.00","12.42%","14.71%","60 months","22100.00","96","2011-10-13","In-Funding","2011-09-29","B4","RENT","5333.33","20.74%","750-779","2000-04-29","12","35","8214","36.3%","1","0","0","0","","0","","  Borrower added on 09/29/11 > This loan is to consolidated my credit card debt<br/>null","Flushing, NY","","3 years"
"971827","Debt Consolidation Loan","debt_consolidation","35000.00","22.74%","25.28%","60 months","16125.00","146","2011-10-13","In-Funding","2011-09-29","G1","RENT","10200.00","17.46%","660-678","1995-04-26","12","29","18016","84.3%","3","0","0","0","34","0","","  Borrower added on 09/29/11 > Pay off all debt<br/> Borrower added on 09/30/11 > As a former Marine and Policeman I will pay my debt<br/>null","Porter Ranch Ca, CA","","10+ years"
"971449","Debt Consolidation Loan","debt_consolidation","30000.00","19.03%","21.48%","60 months","13775.00","115","2011-10-13","In-Funding","2011-09-29","E2","MORTGAGE","4300.00","19.09%","679-713","1999-12-31","9","48","22880","83.5%","3","0","0","0","","0","","  Borrower added on 09/30/11 > The purpose of this loan is to pay all my my debts and consolidate them into one monthly payment and interest rate. Paying the accounts in full will save me money in longivity. This loan will be paid off in 5 years vice the 10 years to pay these of, paying little over the minimum balance. I pay my bills and on time but rather save money and interest, intern fixing my debt to credit ratio. Have excellent credit but the income to debt is 60/40 now. I am half way through my military career and would like to retire debt free. Thank you.<br/>","Killeen, TX","","10+ years"
"969212","Short sale equity line","debt_consolidation","12000.00","8.90%","10.99%","36 months","7025.00","70","2011-10-11","In-Funding","2011-09-27","A5","MORTGAGE","11540.00","15.32%","714-749","1998-05-08","11","25","14039","38.6%","0","0","0","1","11","0","","  Borrower added on 09/27/11 > Covers equity line, in order to facilitate short sale<br/> Borrower added on 09/27/11 > Needed to facilitate short sale<br/>null","Saint petersburg, FL","","5 years"
"970029","Lower credit card rates and pay off","credit_card","20000.00","10.65%","13.49%","36 months","18175.00","171","2011-10-12","In-Funding","2011-09-28","B2","MORTGAGE","7158.33","14.29%","714-749","2000-03-29","12","38","17607","61.1%","0","0","0","1","23","0","","  Borrower added on 09/29/11 > I am looking to lower my current interest rates, but also just have one payment to pay off my credit card balances. I unfortunately had to rely on my credit cards to fund treatment for a major illness for one of my familiy members and now I am looking to pay them off.<br/>null Borrower added on 10/01/11 > Ia have had questions about my current interest rates they range from 17% to 29.99% in addition I have 6 cards that I would be paying off completely with this loan and have the ability to make one payment. I have not used these cards for daily purchases and have been sending payments each month, but due to the interest rates my payments don't seem to make a dent on balances. I'm always on time with my payments as well<br/>","Austin, TX","","7 years"
"971443","Reduce Credit Card Interest","debt_consolidation","11800.00","6.03%","6.78%","36 months","6875.00","72","2011-10-13","In-Funding","2011-09-29","A1","MORTGAGE","8541.67","19.43%","750-779","1998-07-09","14","29","30714","36.9%","0","0","0","0","","0","","  Borrower added on 09/29/11 > If funded I will use the money to lower the relatively low interest I'm paying on some credit card debt.  This does not cover the full amount of my outstanding debt, so I'll be making the minimum payments here until the slightly higher interest loans are paid off, then I'll shift to paying this off more expeditiously.  I expect this loan to be paid off in 2 years or less, but for that shorter investment time you get a lower risk investment.  In the past 15 years of credit history, I have never missed a payment on any loan.  I have a graduate degree with a highly secure job and corresponding high income and upward mobility.  Even in the current economy I am approached with job offers every month or two from competitors and clients alike so there is very little risk to my income - or your investment.  Thank you for your time and consideration.<br/>null","Germantown, MD","","4 years"
"971457","Free CC 2011","credit_card","15600.00","7.90%","9.98%","36 months","10050.00","75","2011-10-13","In-Funding","2011-09-29","A4","MORTGAGE","7500.00","16.35%","714-749","1980-02-14","14","18","15610","69.1%","0","0","0","0","","0","","  Borrower added on 09/29/11 > The funds will be used to pay-off credit card debt - My payment history is 100% no late payments - I have been with my employer for 6 Years and are in a very stable upper management position<br/>","INDEPENDENCE, OH","","6 years"
"971475","Luck Luck Loan","debt_consolidation","23275.00","12.42%","15.29%","36 months","19275.00","158","2011-10-13","In-Funding","2011-09-29","B4","MORTGAGE","5000.00","19.84%","679-713","1975-01-11","14","24","24803","61.6%","0","0","0","0","","0","","  Borrower added on 09/29/11 > For debt consolidation to pay off my credit cards<br/>null","Miami, FL","","10+ years"
"892566","Home","other","20000.00","19.91%","22.38%","60 months","19375.00","222","2011-10-06","In-Funding","2011-09-22","E4","MORTGAGE","20000.00","24.05%","679-713","1991-10-07","22","40","112840","91.4%","0","0","0","0","","0","","","Cave Creek, AZ","","1 year"
"966528","Consolidate cc","debt_consolidation","35000.00","20.89%","23.38%","60 months","16750.00","161","2011-10-09","In-Funding","2011-09-25","F1","MORTGAGE","10583.33","14.44%","679-713","1996-01-17","14","35","48782","82.7%","0","0","0","1","1","0","","","Stoughton, MA","","9 years"
"968185","Debt Consolidation","debt_consolidation","35000.00","7.90%","9.98%","36 months","28850.00","77","2011-10-10","In-Funding","2011-09-26","A4","MORTGAGE","10000.00","21.11%","714-749","1992-01-09","13","40","31117","60.9%","0","0","0","0","","0","","  Borrower added on 09/27/11 > I plan to use the funds to consolidate all revolving debt and payoff the debt consolidation loan in the shortest term allowed at 3 years.<br/>","New Orleans, LA","","8 years"
"968759","Credit Card Consolidation Loan","credit_card","35000.00","20.89%","23.38%","60 months","16525.00","182","2011-10-11","In-Funding","2011-09-27","F1","RENT","8333.33","15.44%","679-713","1983-12-18","11","28","70717","92.4%","0","0","0","0","","0",""," Pay off credit cards","Lakewood, WA","","10+ years"
"971258","high interest credit card payoff/small b","other","15000.00","11.71%","13.99%","60 months","13825.00","71","2011-10-13","In-Funding","2011-09-29","B3","MORTGAGE","2416.67","8.77%","714-749","1998-12-06","11","18","6315","16.5%","0","0","0","1","17","0","","  Borrower added on 09/29/11 > want to pay off high interest credit cards and want to invest in small business<br/>","baker, OR","","10+ years"
"967431","debt consolidation","debt_consolidation","35000.00","18.64%","21.08%","60 months","18450.00","208","2011-10-13","In-Funding","2011-09-29","E1","RENT","6250.00","13.82%","714-749","1977-01-30","4","15","35846","87.2%","0","0","0","0","","0","","","Livermore, CA","","5 years"
"972090","Consolidation Loan","debt_consolidation","20000.00","12.69%","14.99%","60 months","18150.00","63","2011-10-13","In-Funding","2011-09-29","B5","MORTGAGE","8000.00","16.14%","714-749","1997-04-15","8","29","3866","7.1%","1","0","0","1","3","0","","","Birmingham, AL","","8 years"
"972496","Wedding Loan","wedding","5300.00","6.62%","7.99%","36 months","4100.00","54","2011-10-14","In-Funding","2011-09-30","A2","RENT","5416.67","2.99%","750-779","2000-07-29","5","12","7803","41.3%","0","0","0","0","71","0","","","Washington, DC","","3 years"
"972787","Life's Unexpected Turns","debt_consolidation","6000.00","6.62%","7.99%","36 months","4400.00","54","2011-10-14","In-Funding","2011-09-30","A2","MORTGAGE","5500.00","13.76%","714-749","1995-01-27","10","28","17680","39.7%","0","0","0","0","63","0","","  Borrower added on 09/30/11 > I have hit a rough patch lately, and I am looking to consolidate my debt.<br/>","Natrona Heights, PA","","5 years"
"971860","6 year existing business loan","small_business","30000.00","6.62%","7.99%","36 months","12775.00","49","2011-10-14","In-Funding","2011-09-30","A2","MORTGAGE","5125.00","15.4%","750-779","1997-11-11","8","25","3051","9.4%","0","0","0","0","","0","","  Borrower added on 09/30/11 > I am looking to expand an existing business, and buy an additional book of business.  We have been in business for 6 years, and continue to be profitable.<br/>null","Ocala, FL","","5 years"
"975766","Wedding Expenses for Daughter","medical","3600.00","7.90%","9.98%","36 months","1350.00","24","2011-10-17","In-Funding","2011-10-03","A4","RENT","5000.00","4.4%","714-749","1988-10-03","4","12","4794","48.9%","0","0","0","0","30","0","","","Queens, NY","","4 years"
"976283","NOFISH2","house","2500.00","6.03%","6.78%","36 months","500.00","15","2011-10-17","In-Funding","2011-10-03","A1","OWN","2750.00","15.56%","780+","1980-08-16","6","9","5739","9.3%","0","0","0","0","","0","","  Borrower added on 10/03/11 > USING FUNDS FOR HOME IMPROVEMENT<br/>","SAUGUS, MA","","n/a"
"976997","Wells Fargo Visa Payoff","debt_consolidation","10525.00","11.71%","14.57%","36 months","4525.00","25","2011-10-18","In-Funding","2011-10-04","B3","MORTGAGE","7125.00","23.83%","679-713","1995-11-27","10","44","15520","40.3%","0","0","0","0","57","0","","  Borrower added on 10/04/11 > Pay off high intrest rate credit card<br/>","Waldorf, MD","","5 years"
"976522"," Dodge truck","car","20000.00","17.58%","19.99%","60 months","725.00","17","2011-10-18","In-Funding","2011-10-04","D4","RENT","5500.00","0%","714-749","2007-10-25","2","5","0","0%","1","0","0","0","","0","","","west salem, OH","","< 1 year"
"977555","Debt Consolidation","debt_consolidation","5000.00","13.49%","17.13%","36 months","25.00","1","2011-10-18","In-Funding","2011-10-04","C1","MORTGAGE","5000.00","10.88%","679-713","2001-05-29","6","12","0","0%","3","0","0","0","42","0","","","Sacramento, CA","","5 years"
"968858","Consolidated Credit Cards","credit_card","35000.00","7.90%","9.98%","36 months","28200.00","86","2011-10-11","In-Funding","2011-09-27","A4","RENT","9583.33","4.14%","714-749","1978-01-23","7","14","13162","58.8%","0","0","0","0","","0","","","Darien, CT","","2 years"
"965938","debt consolidation loan","debt_consolidation","31025.00","22.06%","24.58%","60 months","18550.00","191","2011-10-11","In-Funding","2011-09-27","F4","MORTGAGE","6666.67","20.01%","714-749","1998-03-09","6","12","32262","99.3%","0","0","0","0","","0","","","Tallahassee, FL","","3 years"
"968651","Debt Consolidation","debt_consolidation","23600.00","18.25%","20.68%","60 months","18450.00","140","2011-10-11","In-Funding","2011-09-27","D5","MORTGAGE","3507.54","19.79%","679-713","1990-05-20","11","26","20177","61.9%","1","0","0","0","","1","90","  Borrower added on 09/28/11 > I want to consolidate my debt,-I'am on time with all my payments, I have a good budget plan, I have stable income,<br/>","sun city, AZ","","n/a"
"969624","Credit Card Loan","credit_card","9000.00","7.51%","9.59%","36 months","5350.00","61","2011-10-11","In-Funding","2011-09-27","A3","RENT","5000.00","16.38%","714-749","1976-08-01","14","17","4310","27.8%","1","0","0","0","46","0","","","Princeton, NJ","","1 year"
"968702","Another Debt Consolidation Loan ","debt_consolidation","24000.00","18.64%","21.08%","60 months","19750.00","243","2011-10-11","In-Funding","2011-09-27","E1","MORTGAGE","11000.00","10.03%","679-713","1995-10-21","9","22","6280","68.3%","2","0","0","0","","1","87","  Borrower added on 09/29/11 > This loan will be used to consolidate several credit cards into one lower interest rate loan.  Below is a breakdown of the existing loan balances and what is the minimum amount paid monthly towards those expenses.<br/><br/>Bills to be consolidated:<br/>$13,342.40	Loan<br/>$ 2,600.00	Credit Card<br/>$ 3,600.00	Credit Card<br/>$ 1,500.00	Loan<br/>----------------------------<br/>$21,042.40	Totals<br/><br/>Total payed monthly to above bills:<br/>$420.00	Loan Payment<br/>$ 60.00	Credit Card<br/>$100.00	Credit Card<br/>$ 50.00	Loan<br/>----------------------------<br/>$630.00 Total<br/>null","Albrightsville, PA","","6 years"
"880992","Lending Tree Loan","credit_card","35000.00","11.71%","13.99%","60 months","29200.00","157","2011-10-11","In-Funding","2011-09-27","B3","MORTGAGE","9000.00","11.27%","714-749","1978-12-19","11","34","29481","64.5%","0","0","0","0","","0","","","Cypress, TX","","10+ years"
"893637","Debt and Grad School","debt_consolidation","35000.00","11.71%","13.99%","60 months","25600.00","99","2011-10-12","In-Funding","2011-09-28","B3","MORTGAGE","6666.67","7.29%","750-779","1998-04-09","5","15","15131","57.8%","0","0","0","0","","0","","","Las Vegas, NV","","2 years"
"970949","debt","other","12000.00","6.62%","7.99%","36 months","5850.00","42","2011-10-13","In-Funding","2011-09-29","A2","RENT","6000.00","28.87%","750-779","1990-02-21","11","29","6408","23.6%","1","0","0","0","","0","","","Kew Gardens, NY","","10+ years"
"892304","Personal Loan","other","21000.00","19.42%","21.88%","60 months","17000.00","191","2011-10-12","In-Funding","2011-09-28","E3","MORTGAGE","25000.00","5.53%","679-713","2008-06-09","7","11","22973","70.8%","0","0","0","0","","0","","","Leesburg, VA","","4 years"
"970092","Debt Consolidation","debt_consolidation","19075.00","7.90%","9.98%","36 months","14500.00","175","2011-10-12","In-Funding","2011-09-28","A4","MORTGAGE","6833.33","11.06%","750-779","1992-12-31","6","23","15616","51.7%","1","0","0","0","","0","","  Borrower added on 09/26/11 > This is for debt consolidation. I fully intend to close out credit cards with smaller balances and no balances, thereby reducing my outsanding line of credit.<br/>Borrower added on 09/26/11 > This is for debt consolidation. I fully intend to close out credit cards with smaller balances and no balances, thereby reducing my outsanding line of credit.<br/>","Glenside, PA","","5 years"
"970707","Major Purchase Loan","major_purchase","19000.00","8.90%","10.99%","36 months","11400.00","115","2011-10-12","In-Funding","2011-09-28","A5","RENT","6500.00","3.22%","780+","1989-04-26","5","13","417","0.9%","2","0","0","0","","0","","I plan to use the funds for a major purchase that will dramatically improve my life personally & financially. My excellent credit rating & stable job providing a monthly budget that will support a loan much greater than I've requested make me a low-risk & excellent credit worthy borrower. Borrower added on 10/01/11 > The major purchase is not for an auto, grand vacation, home remodel or deposit for a home. The funds are going to allow me to pay cash for a home &amp; own it free &amp; clear at the time of closing on 10/18/2011.<br/> Borrower added on 10/02/11 > Just in case you're wondering the home is going to be my primary residence &amp; the sale price doesn't meet the $50,000 minimum to qualify for typical mortgage financing; therefore I've sought the mass lending power of the Lending Club members...Thank You!<br/>null","Crowley, LA","","2 years"
"970754","Bill Consolidation","debt_consolidation","30000.00","22.35%","24.88%","60 months","18475.00","192","2011-10-12","In-Funding","2011-09-28","F5","MORTGAGE","9666.67","22.41%","660-678","1994-07-29","15","30","41707","77%","0","0","0","0","","0","","","Ruckersville, VA","","10+ years"
"970684","credit fix","debt_consolidation","35000.00","19.91%","22.38%","60 months","14750.00","122","2011-10-13","In-Funding","2011-09-29","E4","RENT","6083.33","22.64%","679-713","1999-02-03","10","15","22669","85.5%","0","0","0","0","","0","","  Borrower added on 09/29/11 > Loan is to consolidate all my credit cards to one bill. I have no late payments in my payment history with all my credit cards and I am currently making payments totaling higher than the monthly payment on this loan. This loan will help me save money and also help me be debt free in five years. I have a stable job for nine years and counting.<br/>","North Plainfield, NJ","","9 years"
"891893","Home Improvement","home_improvement","30000.00","19.03%","21.48%","60 months","16875.00","175","2011-10-13","In-Funding","2011-09-29","E2","MORTGAGE","9166.67","10.81%","679-713","1995-06-25","14","30","30166","71.7%","2","0","0","0","","0","","  Borrower added on 09/29/11 > Hello, and thanks for loaning me some of your hard earned money. It will be well cared for, and you will never see a late payment. I will most likely pay the loan back in 3 to 4 years, so if you are wanting a longer period of return, this may not be the one for you. I do hope you consider trusting me with your money. It will be put to good use, repairing and upgrading my home to further increase it's value when I sell it, in 3 to 5 years. Thanks again for your consideration<br/>null","Charleston, SC","","6 years"
"971441","Relocation loan","moving","12000.00","6.03%","6.78%","36 months","7450.00","63","2011-10-13","In-Funding","2011-09-29","A1","MORTGAGE","10012.92","8.28%","750-779","2001-10-21","11","44","0","0%","0","0","0","0","","0","","","Altamonte Springs, FL","","4 years"
"970953","Home Improvement Loan","home_improvement","10400.00","9.91%","12.74%","36 months","7600.00","84","2011-10-14","In-Funding","2011-09-30","B1","MORTGAGE","9240.67","7.03%","714-749","1992-11-07","15","27","16736","48.7%","1","0","0","0","","0","","","stafford, VA","","< 1 year"
"970976","Debt Consolidation Loan","debt_consolidation","35000.00","14.27%","16.60%","60 months","27350.00","119","2011-10-14","In-Funding","2011-09-30","C2","OWN","20416.67","5.61%","714-749","1994-08-29","9","19","28369","48.9%","1","0","0","0","","0","","","Tuckahoe, NY","","10+ years"
"889534","Debt Consolidation Loan","debt_consolidation","28000.00","14.65%","16.99%","60 months","26325.00","121","2011-10-14","In-Funding","2011-09-30","C3","MORTGAGE","14583.33","8.43%","714-749","1995-07-15","10","33","45549","48.8%","2","0","0","0","","0","","  Borrower added on 09/30/11 > I moved my mother and sisters form Texas back to kansas after she had a rough divorce. Then helped them get on there feet witch ran up some debt I don't normally have. Now I've have a five year plan to be debt free. Thanks<br/>null","OVERLAND PARK, KS","","2 years"
"972662","Cards no more","debt_consolidation","12000.00","7.90%","9.98%","36 months","8650.00","92","2011-10-14","In-Funding","2011-09-30","A4","MORTGAGE","4166.67","16.8%","714-749","2001-08-23","6","10","12803","58.7%","0","0","0","0","","0","","","Tonganoxie, KS","","10+ years"
"972681","Repay CCs with a better interest rate","credit_card","4000.00","7.90%","9.98%","36 months","3075.00","88","2011-10-14","In-Funding","2011-09-30","A4","MORTGAGE","5083.33","15.05%","714-749","2004-12-05","15","18","2082","7.9%","2","0","0","0","","0","","  Borrower added on 09/30/11 > Hi there, and thank you for considering lending to me! <br/><br/>Background: I have been out of college for two years, and I am one of the lucky ones who was able to get a career straight out of college. I even bought a house! During college, I racked up a few grand in credit card debt, and I've just never really been able to get ahead of it thanks to lots of bills and also high interest rates (15.9%!). One of my projects lately has been to get control of my funds and set up different accounts so that I can get the best &quot;bang for my buck,&quot; so to speak, so Mint.com pointed me toward this site as a good way to pay off my credit card debt at a lower interest rate. <br/><br/>To make you feel good about lending to me: I have never been late on any payments, and the idea of defaulting on a loan horrifies me beyond belief. I make enough money to pay all my bills just fine and still have money left over to do some &quot;fun&quot; things. This loan is simply for me to save a few dollars in interest. Rest assured, I am safe to lend to.<br/><br/>Thanks again for your consideration! Please feel free to ask any questions - I will answer them as quickly as I can.<br/>","Columbus, OH","","2 years"
"967426","personal loan","other","24175.00","17.27%","19.68%","60 months","16375.00","88","2011-10-14","In-Funding","2011-09-30","D3","RENT","3750.00","9.39%","679-713","2005-04-04","11","14","4067","11.6%","2","0","0","0","","0","","","flushing, NY","","9 years"
"972704","Basement Loan","home_improvement","20000.00","22.35%","24.88%","60 months","14425.00","119","2011-10-14","In-Funding","2011-09-30","F5","MORTGAGE","10416.67","11.98%","660-678","2003-10-12","16","34","14477","97.8%","2","0","0","0","","0","","  Borrower added on 09/30/11 > The home improvement loan is for finishing construction on our basement for the upcoming holiday season for extra space.<br/>","Hamilton, OH","","2 years"
"972728","Debt consolidation","debt_consolidation","35000.00","14.27%","16.60%","60 months","27700.00","126","2011-10-14","In-Funding","2011-09-30","C2","MORTGAGE","5237.08","23.91%","714-749","1998-09-20","8","43","16442","51.7%","2","0","0","0","","0","","","Lexington, KY","","10+ years"
"972758","Timber Land Improvements","small_business","28000.00","9.91%","12.74%","36 months","13850.00","77","2011-10-14","In-Funding","2011-09-30","B1","OWN","10416.67","15.95%","714-749","1999-09-03","14","22","66538","40.6%","0","0","0","0","","0","","  Borrower added on 09/30/11 > Funding request is in preparation to purchase additional timber acreage in New Brunswick Canada and to perform land improvements to develop a second 285 acre parcel of timber acreage, also in New Brunswick Canada.  Land improvements would include re-blazing of property lines, land survey and re-working of the current road system.  I also have a 75 acre parcel that has a 10 &ndash; 15 year-old pine stand in the State of Louisiana.  Both parcels meet government standards for wetland and wildlife protection and for forest sustainability. <br/><br/>I am employed by one of ENR&rsquo;s Top 400 Contractors in the United States<br/> Borrower added on 09/30/11 > Funding request is in preparation to purchase additional timber acreage in New Brunswick Canada and to perform land improvements to develop a second 285 acre parcel of timber acreage, also in New Brunswick Canada.  Land improvements would include re-blazing of property lines, land survey and re-working of the current road system.  I also have a 75 acre parcel that has a 10 &ndash; 15 year-old pine stand in the State of Louisiana.  Both parcels meet government standards for wetland and wildlife protection and for forest sustainability. <br/><br/>I am employed by one of ENR&rsquo;s Top 400 Contractors in the United States<br/>","ATLANTA, GA","","3 years"
"973020","my loan","medical","6000.00","8.90%","10.99%","36 months","4150.00","60","2011-10-14","In-Funding","2011-09-30","A5","MORTGAGE","3708.33","22.09%","714-749","2002-10-17","11","15","2539","24.7%","1","0","0","0","","0","","  Borrower added on 09/30/11 > We will be using this to pay off some medical and dental expenses.<br/>","Sparks, NV","","10+ years"
"887956","Payoff Bills","other","10000.00","12.42%","15.29%","36 months","7350.00","70","2011-10-14","In-Funding","2011-09-30","B4","MORTGAGE","2833.33","9.04%","679-713","1999-07-28","11","29","3377","42.2%","3","0","0","1","12","0","","","Homestead, FL","","10+ years"
"973388","medical and lawyers","medical","17500.00","11.71%","13.99%","60 months","14500.00","47","2011-10-14","In-Funding","2011-09-30","B3","RENT","3125.00","19.65%","714-749","2001-03-26","11","16","16225","30.7%","0","0","0","0","","0","","","Kansas City, MO","","< 1 year"
"973285","debt consolidation loan needed","debt_consolidation","19925.00","18.64%","21.08%","60 months","13175.00","99","2011-10-15","In-Funding","2011-10-01","E1","MORTGAGE","6250.00","20.64%","679-713","1999-09-04","13","29","14008","92.2%","0","0","0","0","","0","","  Borrower added on 10/01/11 > Thanks for viewing my posting for a loan. I have incurred alot of debt in the last year for two reasons . One , I was part time for 4 years and I used my credit to make up the difference financially to live as if I were full time . The other reason was I used my credit cards to fix up my house I bought two years ago . I was hoping the credit markets would ease up so I could get a loan to fix up  my house but I was wrong and now I am in debt from those repairs . I feel if I get this loan it would help me to get rid of my debt in 5 years or less . So if this sound like something you would like to invest in please bid on my loan .Thanks for your help<br/> Borrower added on 10/01/11 > Thanks for looking at my loan listing . I am looking to consolidate my debt because over the last two years I have been using my credit cards to upgrade my dueplex. I am done fixing it up and I am living in one and renting the other . Now that that project is complete I want to get a loan to clean up my credit cards . I am asking for help so that I can be debt free in 5 years . Thanks for looking at my posting and I hope to have you as a lender.<br/>","Sacramento, CA","","10+ years"
"973435","personal finances loan","other","15850.00","18.64%","21.08%","60 months","11875.00","82","2011-10-15","In-Funding","2011-10-01","E1","MORTGAGE","3583.33","23.44%","660-678","1997-01-17","9","12","5049","48.5%","2","0","0","0","","0","","  Borrower added on 10/01/11 > pay off credit cards and create a small nest egg.<br/>","crosby, TX","","2 years"
"972986","Financial Order","debt_consolidation","22000.00","12.69%","14.99%","60 months","21700.00","132","2011-10-15","In-Funding","2011-10-01","B5","MORTGAGE","9583.33","0.16%","780+","1995-06-26","3","26","627","3.8%","0","0","0","0","","0","","  Borrower added on 10/01/11 > Being in the IT industry, for nearly 16 years, I have a solid employment history and an excellent credit history. My current employer is stable, I am advancing in my career path, and I do not have any intentions to change positions. With this loan, we are paying off a loan with Discover. Our mortgage and expenses are within monthly earnings; we live well within our means.<br/>","tomball, TX","","1 year"
"972927","publish book","small_business","2000.00","6.62%","7.99%","36 months","1750.00","49","2011-10-15","In-Funding","2011-10-01","A2","MORTGAGE","4000.00","1.4%","780+","1973-05-22","4","10","2709","15.9%","0","0","0","0","","0","","  Borrower added on 10/01/11 > I am publishing a book and need marketing money<br/> Borrower added on 10/01/11 > I am publishing a book and need marketing money<br/>","san diego, CA","","n/a"
"973792","Credit Card Loan","credit_card","27300.00","21.67%","24.18%","60 months","14775.00","115","2011-10-15","In-Funding","2011-10-01","F3","MORTGAGE","6120.00","18.37%","679-713","1991-08-17","6","25","23724","98.8%","0","0","0","0","","0","","","Denver, CO","","10+ years"
